Geneid	SRR1927116	SRR1927117	SRR1927118	SRR1927119
ENSRNOG00000046319|AABR07000046.1	0	0	0	0
ENSRNOG00000047964|AABR07000089.1	0	0	0	0
ENSRNOG00000050370|Vom2r6	0	0	0	0
ENSRNOG00000032365|Vom2r5	0	0	0	0
ENSRNOG00000040300|Raet1e	0	2	0	0
ENSRNOG00000058808|AABR07000109.1	0	0	0	0
ENSRNOG00000061316|Ulbp1	0	0	0	0
ENSRNOG00000050129|AABR07000137.1	0	0	0	0
ENSRNOG00000040316|AABR07000145.1	0	0	0	0
ENSRNOG00000023659|AABR07000147.1	1	0	0	0
ENSRNOG00000029897|AABR07000156.1	0	0	0	1
ENSRNOG00000042852|AABR07000158.1	0	0	0	0
ENSRNOG00000061806|AABR07000158.2	0	0	0	0
ENSRNOG00000055877|AABR07000159.4	0	0	0	0
ENSRNOG00000014303|Lrp11	2489	1831	1958	1982
ENSRNOG00000051899|AABR07000159.1	0	2	1	0
ENSRNOG00000014330|Pcmt1	743	769	710	673
ENSRNOG00000049505|Nup43	42	22	35	29
ENSRNOG00000014916|Lats1	226	313	232	371
ENSRNOG00000014996|Katna1	124	89	73	140
ENSRNOG00000015239|Ginm1	119	102	119	113
ENSRNOG00000055508|AABR07000159.3	40	23	48	36
ENSRNOG00000053710|AABR07000159.2	0	0	0	0
ENSRNOG00000015552|Ppil4	563	594	579	599
ENSRNOG00000016041|Zc3h12d	3	1	7	3
ENSRNOG00000016054|Tab2	575	454	444	433
ENSRNOG00000016381|Ust	94	35	75	64
ENSRNOG00000054005|U6	0	0	0	0
ENSRNOG00000059137|AABR07000173.1	0	0	0	0
ENSRNOG00000013160|Sash1	971	718	635	784
ENSRNOG00000052788|.	0	0	0	0
ENSRNOG00000023549|Samd5	174	56	114	100
ENSRNOG00000031859|RGD1560633	0	0	1	0
ENSRNOG00000013351|Stxbp5	1791	2219	1421	2148
ENSRNOG00000061755|.	0	0	0	0
ENSRNOG00000053182|AABR07000200.1	0	0	0	0
ENSRNOG00000042741|Adgb	13	1	10	0
ENSRNOG00000014258|Rab32	8	10	7	8
ENSRNOG00000057302|.	0	0	0	0
ENSRNOG00000014290|Grm1	592	974	834	1083
ENSRNOG00000041566|AABR07000220.1	0	0	0	0
ENSRNOG00000014431|AABR07000222.1	11	3	12	6
ENSRNOG00000014450|Shprh	409	354	354	352
ENSRNOG00000014852|Fbxo30	28	28	22	24
ENSRNOG00000052274|SNORA70	0	0	0	0
ENSRNOG00000040242|Epm2a	58	43	35	50
ENSRNOG00000054906|AABR07000239.1	0	0	0	0
ENSRNOG00000058048|AABR07000247.1	0	0	0	0
ENSRNOG00000051844|AABR07000248.1	0	0	0	0
ENSRNOG00000053880|SNORA73	0	0	0	0
ENSRNOG00000011058|Utrn	452	254	271	219
ENSRNOG00000014902|Stx11	19	10	1	11
ENSRNOG00000014908|Sf3b5	869	941	858	671
ENSRNOG00000036310|AABR07000257.1	0	0	0	0
ENSRNOG00000025587|Plagl1	24	25	36	45
ENSRNOG00000042705|Zc2hc1b	0	0	0	0
ENSRNOG00000043188|AABR07000261.1	0	0	0	0
ENSRNOG00000015217|Ltv1	403	316	424	334
ENSRNOG00000015473|Phactr2	30	14	36	28
ENSRNOG00000015551|Fuca2	224	195	262	216
ENSRNOG00000015660|Pex3	213	227	142	196
ENSRNOG00000046983|Adat2	73	24	100	25
ENSRNOG00000016624|AABR07000276.1	2	2	4	4
ENSRNOG00000010753|Aig1	681	894	538	893
ENSRNOG00000011015|Hivep2	2344	2269	1953	2064
ENSRNOG00000011399|AABR07000292.1	0	0	0	0
ENSRNOG00000011411|Adgrg6	102	41	53	53
ENSRNOG00000011540|Vta1	793	898	641	712
ENSRNOG00000012092|Gje1	0	1	0	2
ENSRNOG00000012103|Nmbr	5	3	3	2
ENSRNOG00000059930|AABR07000304.1	0	0	0	0
ENSRNOG00000059032|AABR07000325.1	0	0	0	0
ENSRNOG00000056005|U7	0	0	0	0
ENSRNOG00000055342|U7	0	0	0	0
ENSRNOG00000047798|AABR07000332.1	0	0	0	0
ENSRNOG00000059769|AABR07000356.1	0	0	0	0
ENSRNOG00000047193|Olr905	0	0	0	0
ENSRNOG00000060990|AABR07000382.1	0	0	0	0
ENSRNOG00000058425|AABR07000385.2	11	5	0	0
ENSRNOG00000055421|AABR07000385.1	0	0	0	0
ENSRNOG00000051831|5_8S_rRNA	0	0	0	0
ENSRNOG00000052007|AABR07000392.1	0	0	0	0
ENSRNOG00000061685|AABR07000398.2	0	0	0	0
ENSRNOG00000047746|AABR07000398.1	5	5	4	11
ENSRNOG00000053888|5_8S_rRNA	0	0	0	0
ENSRNOG00000055836|AABR07000402.1	0	0	0	0
ENSRNOG00000060657|AABR07000404.1	0	0	0	0
ENSRNOG00000059898|LOC100909599	1	0	0	0
ENSRNOG00000055789|AABR07000411.1	2	1	8	4
ENSRNOG00000062232|Mcc	2	0	8	4
ENSRNOG00000055660|AABR07000433.1	0	0	0	0
ENSRNOG00000060284|AABR07000436.1	0	0	0	0
ENSRNOG00000056019|AC128394.2	0	0	0	0
ENSRNOG00000059861|AC128394.3	0	0	0	0
ENSRNOG00000056940|Cited2	467	618	546	591
ENSRNOG00000055972|AC128394.1	0	0	0	0
ENSRNOG00000060021|Txlnb	6	5	6	1
ENSRNOG00000060610|AABR07071848.1	0	0	0	1
ENSRNOG00000060972|Heca	399	294	278	327
ENSRNOG00000051450|Abracl	167	200	118	193
ENSRNOG00000059224|Reps1	218	186	242	172
ENSRNOG00000055142|Ect2l	0	0	0	0
ENSRNOG00000052189|AABR07000452.1	0	4	0	3
ENSRNOG00000053331|AABR07000451.1	48	38	22	35
ENSRNOG00000053347|Ccdc28a	250	206	232	160
ENSRNOG00000059393|U6	0	0	0	0
ENSRNOG00000060603|Nhsl1	785	774	926	890
ENSRNOG00000053735|Hebp2	68	43	63	32
ENSRNOG00000053184|AABR07000458.1	0	0	0	0
ENSRNOG00000011460|Arfgef3	590	371	734	480
ENSRNOG00000025799|RGD1560303	0	0	0	0
ENSRNOG00000011994|Perp	40	175	138	215
ENSRNOG00000049517|Tnfaip3	42	15	38	31
ENSRNOG00000058088|LOC102550206	0	0	0	0
ENSRNOG00000054373|AABR07000484.1	0	3	0	0
ENSRNOG00000012057|Olig3	1	0	0	0
ENSRNOG00000053291|AABR07000493.1	0	5	0	0
ENSRNOG00000012074|Ifngr1	369	307	367	295
ENSRNOG00000012259|Il22ra2	5	4	7	6
ENSRNOG00000012286|Il20ra	4	0	0	0
ENSRNOG00000057719|AC136053.1	0	0	0	0
ENSRNOG00000012311|Slc35d3	2	2	0	3
ENSRNOG00000012322|Pex7	68	63	45	88
ENSRNOG00000031700|Map3k5	189	186	219	252
ENSRNOG00000054452|AABR07000497.1	0	0	0	0
ENSRNOG00000012701|Map7	2241	2418	2053	2330
ENSRNOG00000053505|U6	0	0	0	0
ENSRNOG00000058050|Bclaf1	1023	1029	929	1134
ENSRNOG00000013436|Pde7b	99	112	182	234
ENSRNOG00000058518|AABR07000521.1	0	0	0	0
