Geneid	SRR4123954	SRR4123955	SRR4123956	SRR4123957	SRR4123958	SRR4123959	SRR4123960	SRR4123961	SRR4123962	SRR4123963	SRR4123964	SRR4123965
ENSRNOG00000046319|AABR07000046.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047964|AABR07000089.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000050370|Vom2r6	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032365|Vom2r5	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040300|Raet1e	0	0	0	0	0	6	0	0	0	0	0	0
ENSRNOG00000058808|AABR07000109.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061316|Ulbp1	0	2	10	5	5	17	2	1	22	4	5	10
ENSRNOG00000050129|AABR07000137.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040316|AABR07000145.1	0	0	0	0	0	0	0	0	0	0	0	1
ENSRNOG00000023659|AABR07000147.1	0	0	1	0	0	4	0	0	0	0	0	3
ENSRNOG00000029897|AABR07000156.1	0	0	0	0	0	2	0	0	0	0	0	0
ENSRNOG00000042852|AABR07000158.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061806|AABR07000158.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055877|AABR07000159.4	0	0	0	0	0	0	0	0	2	0	0	0
ENSRNOG00000014303|Lrp11	1465	1135	885	1352	949	709	1052	1091	878	1366	1259	755
ENSRNOG00000051899|AABR07000159.1	1	2	0	0	0	6	0	0	0	0	2	0
ENSRNOG00000014330|Pcmt1	614	690	297	592	553	272	500	691	345	720	717	272
ENSRNOG00000049505|Nup43	35	34	49	28	22	59	22	23	91	23	19	74
ENSRNOG00000014916|Lats1	243	216	678	221	169	534	204	149	595	256	182	626
ENSRNOG00000014996|Katna1	122	82	172	137	133	189	125	80	218	136	110	194
ENSRNOG00000015239|Ginm1	285	235	940	307	216	767	198	218	1021	266	219	816
ENSRNOG00000055508|AABR07000159.3	4	0	3	1	0	9	2	4	7	2	6	3
